Iteration, Generator, Distribution, Source, Time per output, Relative time
0, ES32, d6, random_device, 1.4582e-07s, 1.00047
0, ES32 optimized, cd6, random_device, 1.4575e-07s, 0.999993
0, ES64, d6, random_device, 1.45764e-07s, 1.00009
0, ES64 optimized, d6, random_device, 1.45748e-07s, 0.99998
0, VN, d6, random_device, 2.25437e-07s, 1.54673
0, Fast Dice Roller, d6, random_device, 2.06762e-07s, 1.4186
0, FLDR, d6, random_device, 2.06787e-07s, 1.41877
0, ALDR, d6, random_device, 2.06764e-07s, 1.41861
0, Huber-Vargas, d6, random_device, 2.06765e-07s, 1.41862
0, Lemire, d6, random_device, 3.61035e-06s, 24.7707
0, ES32, Bernoulli, random_device, 5.20299e-09s, 1.00976
0, ES32 optimized, Bernoulli, random_device, 4.56622e-09s, 0.886179
0, FLDR, Bernoulli, random_device, 1.43233e-07s, 27.7977
0, ALDR, Bernoulli, random_device, 1.13308e-07s, 21.9901
0, Lemire+alias, Bernoulli, random_device, 3.60961e-06s, 700.528
0, ES32, Weighted, random_device, 1.21221e-07s, 1.00005
0, FLDR, Weighted, random_device, 1.65658e-07s, 1.36665
0, ALDR, Weighted, random_device, 1.65481e-07s, 1.36518
0, Lemire+alias, Weighted, random_device, 3.60971e-06s, 29.7794
0, ES32, d6, mt19937, 7.64941e-09s, 1.05426
0, ES32 optimized, cd6, mt19937, 3.92611e-09s, 0.541107
0, ES64, d6, mt19937, 9.47329e-09s, 1.30563
0, ES64 optimized, d6, mt19937, 4.25301e-09s, 0.586161
0, VN, d6, mt19937, 4.4263e-09s, 0.610044
0, Fast Dice Roller, d6, mt19937, 5.11422e-09s, 0.704855
0, FLDR, d6, mt19937, 9.17798e-09s, 1.26493
0, ALDR, d6, mt19937, 8.2116e-09s, 1.13174
0, Huber-Vargas, d6, mt19937, 5.45576e-09s, 0.751927
0, Lemire, d6, mt19937, 2.65437e-09s, 0.365832
0, ES32, Bernoulli, mt19937, 4.21974e-09s, 0.996637
0, ES32 optimized, Bernoulli, mt19937, 2.22502e-09s, 0.525517
0, FLDR, Bernoulli, mt19937, 1.62496e-08s, 3.8379
0, ALDR, Bernoulli, mt19937, 5.81368e-09s, 1.3731
0, Lemire+alias, Bernoulli, mt19937, 2.69538e-09s, 0.636607
0, ES32, Weighted, mt19937, 1.15674e-08s, 0.997579
0, FLDR, Weighted, mt19937, 2.04845e-08s, 1.7666
0, ALDR, Weighted, mt19937, 8.09336e-09s, 0.697977
0, Lemire+alias, Weighted, mt19937, 2.62861e-09s, 0.226693
0, ES32, d6, xoshiro128, 7.32824e-09s, 1.0002
0, ES32 optimized, cd6, xoshiro128, 3.29201e-09s, 0.44931
0, ES64, d6, xoshiro128, 9.34697e-09s, 1.27572
0, ES64 optimized, d6, xoshiro128, 3.83904e-09s, 0.523972
0, VN, d6, xoshiro128, 5.46478e-09s, 0.745861
0, Fast Dice Roller, d6, xoshiro128, 6.23297e-09s, 0.850708
0, FLDR, d6, xoshiro128, 1.13532e-08s, 1.54955
0, ALDR, d6, xoshiro128, 1.05718e-08s, 1.44289
0, Huber-Vargas, d6, xoshiro128, 7.7624e-09s, 1.05945
0, Lemire, d6, xoshiro128, 1.98355e-09s, 0.270726
0, ES32, Bernoulli, xoshiro128, 4.25769e-09s, 1.0126
0, ES32 optimized, Bernoulli, xoshiro128, 2.54516e-09s, 0.605313
0, FLDR, Bernoulli, xoshiro128, 1.6899e-08s, 4.01907
0, ALDR, Bernoulli, xoshiro128, 1.42309e-08s, 3.38453
0, Lemire+alias, Bernoulli, xoshiro128, 4.92249e-09s, 1.17071
0, ES32, Weighted, xoshiro128, 1.2973e-08s, 1.12198
0, FLDR, Weighted, xoshiro128, 1.46702e-08s, 1.26876
0, ALDR, Weighted, xoshiro128, 1.32784e-08s, 1.1484
0, Lemire+alias, Weighted, xoshiro128, 2.03396e-09s, 0.175908
1, ES32, d6, random_device, 1.45788e-07s, 0.99993
1, ES32 optimized, cd6, random_device, 1.45767e-07s, 0.999784
1, ES64, d6, random_device, 1.45792e-07s, 0.999956
1, ES64 optimized, d6, random_device, 1.45745e-07s, 0.999638
1, VN, d6, random_device, 2.25698e-07s, 1.54802
1, Fast Dice Roller, d6, random_device, 2.07019e-07s, 1.4199
